Razao_Social;UF;REGISTRO_ANS;CNPJ;Modalidade;Trimestre;Ano;Total_Despesas;Media_Trimestral
UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;RS;311715;73936395000102;Cooperativa Médica;3;2025;627703901.13;8598683.577123288
UNIHOSP SAÚDE LTDA;SP;385255;1445199000124;Medicina de Grupo;3;2025;626418880.63;1388955.3894235033
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI;RS;342556;87547444000120;Filantropia;2;2025;624747214.0600001;11787683.284150945
UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE;RJ;302953;35830868000101;Cooperativa Médica;1;2025;624470385.04;6504899.844166666
POLICLIN SAÚDE S/A.;SP;415693;4202013000102;Medicina de Grupo;3;2025;624073079.77;12001405.380192308
UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO;GO;320251;37275625000176;Cooperativa Médica;2;2025;623257635.91;7002894.785505618
PLENA SAÚDE S.A.;SP;348830;338763000147;Medicina de Grupo;2;2025;621976662.41;11308666.589272726
UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO;RJ;364584;35917970000130;Cooperativa Médica;1;2025;619727152.9300001;7377704.20154762
UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO;BA;324345;97388490000187;Cooperativa Médica;3;2025;617437813.39;8018672.901168831
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;MG;314668;17505793000101;Autogestão;2;2025;616323691.55;8560051.271527776
UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO;SP;331341;60633369000163;Cooperativa Médica;2;2025;612207719.63;8273077.292297297
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA;DF;416401;8097092000181;Autogestão;2;2025;610942056.1;16970612.669444446
UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.;MG;354066;17774738000109;Cooperativa Médica;1;2025;606302820.64;6889804.78
UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO;RJ;323993;28806545000109;Cooperativa Médica;2;2025;605120989.13;7659759.356075949
CENTRO CLÍNICO GAÚCHO LTDA;CE;392804;773639000100;Medicina de Grupo;1;2025;603375631.58;5201514.065344828
UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO;AL;318566;35642768000143;Cooperativa Médica;3;2025;603355871.59;7835790.54012987
UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO;RJ;344397;28714533000154;Cooperativa Médica;1;2025;602339664.14;10209146.849830508
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA;PR;326755;78613841000161;Filantropia;2;2025;601981157.37;7341233.626463415
UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO;ES;371777;35988963000120;Cooperativa Médica;3;2025;599552886.24;6378222.194042553
UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;345709;21839519000138;Cooperativa Médica;3;2025;597956153.51;5435965.0319090905
UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;RJ;335479;29135795000127;Cooperativa Médica;1;2025;596981089.0600001;7192543.241686747
UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA;AM;311961;4612990000170;Cooperativa Médica;2;2025;590028651.98;12292263.582916668
UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO;PR;371106;78931391000155;Cooperativa Médica;2;2025;589694603.23;2083726.5131802121
UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO;PE;340952;24449225000198;Cooperativa Médica;1;2025;588611708.14;8918359.214242425
UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO;SP;303267;56727134000163;Cooperativa Médica;1;2025;588532008.3100001;6260978.811808512
UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO;ES;320706;32440968000125;Cooperativa Médica;1;2025;587876193.23;6123710.346145834
S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL;SP;324493;69259356000140;Autogestão;2;2025;583955718.22;12976793.738222223
UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;311375;89870547000151;Cooperativa Médica;2;2025;578759762.3;8267996.604285713
UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;356417;88258884000120;Cooperativa Médica;1;2025;577530935.34;6277510.16673913
UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.;MG;304051;16921561000163;Cooperativa Médica;3;2025;576366006.24;8005083.42
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE;PA;406554;83367342000171;Filantropia;3;2025;576164457.32;21339424.345185187
LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;SP;379280;846662000187;Medicina de Grupo;2;2025;572847452.52;1256244.4134210525
PROASA SAÚDE;DF;310522;2752923000125;Medicina de Grupo;2;2025;568956306.39;11611353.191632653
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE;MG;316873;73395469000140;Autogestão;3;2025;568907276.35;12929710.826136364
ALICE OPERADORA LTDA.;SP;421928;34266553000102;Medicina de Grupo;1;2025;568628982.18;14580230.312307691
UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;357260;87647756000105;Cooperativa Médica;2;2025;565594735.98;5713078.141212122
UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA;MS;333662;15395999000192;Cooperativa Médica;2;2025;565045644.48;5539663.181176471
UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO;PR;322571;78044815000160;Cooperativa Médica;3;2025;563652058.18;6631200.684470587
SIM - CAIXA DE ASSISTÊNCIA À SAÚDE;SC;356476;79831608000118;Autogestão;3;2025;561239224.52;12200852.70695652
UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO;SP;351407;45118429000116;Cooperativa Médica;3;2025;560211015.63;6669178.7575
IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ;PR;336831;79115762000193;Filantropia;3;2025;558556514.61;9156664.173934426
UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO;SP;369411;51093193000103;Cooperativa Médica;2;2025;558386991.89;5583869.9189
UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO;PR;349712;77781706000162;Cooperativa Médica;1;2025;558295416.56;2923012.6521465965
SERMED-SAÚDE LTDA.;SP;303739;64924095000112;Medicina de Grupo;2;2025;557820952.25;7538120.9763513515
UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO;MG;359289;16991945000152;Cooperativa Médica;2;2025;557671116.65;6410012.835057471
UNIÃO MÉDICA PLANOS DE SAÚDE S/A;BA;414581;4745753000187;Medicina de Grupo;2;2025;557148726.24;10924484.828235295
HBC SAÚDE LTDA.;SP;414352;5011316000100;Medicina de Grupo;3;2025;555955080.53;15884430.872285714
UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO;SP;336106;66872888000160;Cooperativa Médica;1;2025;552985096.64;3736385.788108108
UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO;SP;369292;48628366000136;Cooperativa Médica;1;2025;552910476.11;5216136.567075471
UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;313211;87306361000149;Cooperativa Médica;3;2025;551854975.5;7457499.668918919
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA;MG;416568;8202035000115;Autogestão;2;2025;549825085.39;8085663.020441176
UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA;AC;337871;84313741000112;Cooperativa Médica;2;2025;549012006.1800001;6168674.226741574
QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA.;DF;418170;9433795000104;Medicina de Grupo;1;2025;548508180.08;10157558.89037037
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA;SP;354562;54370630000187;Filantropia;2;2025;543023400.41;18724944.841724135
UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL;SC;364860;85241339000132;Cooperativa Médica;2;2025;542209191.81;3688497.9034693874
UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO;MT;304468;37436920000167;Cooperativa Médica;3;2025;539150018.47;5134762.080666667
UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;PE;323268;40853020000120;Cooperativa Médica;1;2025;539052848.97;6823453.78443038
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO;SP;417947;10935483000170;Medicina de Grupo;3;2025;538766249.66;11463111.694893617
UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO;SP;300713;54991211000162;Cooperativa Médica;3;2025;537567980.35;4479733.169583334
SOBAM CENTRO MÉDICO HOSPITALAR S.A.;SP;326500;50739135000141;Medicina de Grupo;1;2025;536872844.25;8259582.219230769
UNIMED PATO BRANCO SOCIEDADE COOPERATIVA DE MÉDICOS;PR;370681;80871551000160;Cooperativa Médica;2;2025;536581093.1;5062085.783962265
UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.;ES;371629;39384664000137;Cooperativa Médica;2;2025;533856854.09;8473918.318888888
SÃO LUCAS SAÚDE S/A;SP;344362;96509690000188;Medicina de Grupo;2;2025;531577994.46;11556043.357826086
SAÚDE BRB - CAIXA DE ASSISTÊNCIA ;DF;414310;4859814000137;Autogestão;3;2025;531406521.42;9006890.193559323
UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;319384;87607149000111;Cooperativa Médica;2;2025;528700055.9;8392064.37936508
UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS;MG;316148;41781949000153;Cooperativa Médica;3;2025;527636466.71;7035152.889466667
MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.;SP;333689;57746455000178;Medicina de Grupo;1;2025;527204704.15;14644575.115277776
FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PR;355151;75054940000162;Autogestão;1;2025;523842625.8;8449074.609677419
UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.;RJ;330264;29290152000158;Cooperativa Médica;3;2025;522270449.92;10445408.9984
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP;RJ;324477;30036685000197;Autogestão;1;2025;521078908.76;13360997.66051282
LIFE EMPRESARIAL SAÚDE LTDA.;SP;414492;4558034000157;Medicina de Grupo;2;2025;518272516.16;9423136.657454547
FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV;PE;307751;12585261000108;Autogestão;3;2025;514945892.12;12873647.303
UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;304395;22720791000167;Cooperativa Médica;3;2025;510973353.31;6387166.916375
UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO;SP;311847;49210966000142;Cooperativa Médica;1;2025;509943685.51;4950909.568058252
H.B. SAÚDE S/A.;SP;350249;2668512000156;Medicina de Grupo;1;2025;505520684.49;11756294.988139534
FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;PR;338648;77375897000162;Autogestão;2;2025;504917604.01;10098352.0802
ASSOCIAÇÃO SÃO FRANCISCO VIDA;SP;419141;14946109000120;Medicina de Grupo;3;2025;504815736.13;12312578.93
UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;SP;328294;1559455000104;Cooperativa Médica;3;2025;504514625.8;8137332.674193549
UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;330108;26189530000113;Cooperativa Médica;3;2025;504409095.72;4945187.212941177
ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL;SP;342611;49320799000192;Autogestão;2;2025;503847895.25;11196619.894444445
UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO;BA;346209;42043067000153;Cooperativa Médica;3;2025;502804305.37;6794652.77527027
SAUDE PAS - MEDICINA E ODONTO;RS;409243;3424929000136;Autogestão;2;2025;501055189.09;16163070.615806451
CAIXA DE ASSISTÊNCIA OSWALDO CRUZ;RJ;417548;3033006000153;Autogestão;2;2025;501017195.66;11928980.84904762
UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO;SP;306762;2322043000119;Cooperativa Médica;2;2025;500110293.96;4762955.1805714285
COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.;RS;367087;87158507000156;Cooperativa Médica;1;2025;499262249.2;4195481.085714285
LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A;RJ;422339;36503186000149;Medicina de Grupo;1;2025;498241053.11;7436433.628507463
CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO;GO;386596;366982000130;Cooperativa Médica;3;2025;496818396.2;8565834.41724138
UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;300136;103956000119;Cooperativa Médica;3;2025;496302329.03;4241900.248119658
CENTRO HOSPITALAR ATIBAIA LTDA.;SP;350699;950062000164;Medicina de Grupo;3;2025;495331145.76;19051197.913846154
UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO;SP;318388;74521188000150;Cooperativa Médica;3;2025;494265014.95;5616647.897159091
UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO;RJ;312592;30417661000188;Cooperativa Médica;3;2025;493386926.40999997;7957853.651774193
UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO;SP;306126;44663631000166;Cooperativa Médica;2;2025;492961248.42;3330819.246081081
UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO;SP;364312;45272366000158;Cooperativa Médica;1;2025;490587366.72;9084951.235555556
REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;RJ;331317;34269803000168;Autogestão;1;2025;490368837.45;7318937.872388059
UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES;SP;354783;45309606000141;Cooperativa Médica;1;2025;490243148.41;3604729.032426471
UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO;PR;361615;75003525000180;Cooperativa Médica;3;2025;489151793.76;4042576.807933884
FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;MG;315567;660903000107;Autogestão;2;2025;486712208.58000004;14748854.805454547
SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA;MG;342807;21575709000195;Filantropia;2;2025;486576781.2;7602762.20625
UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO;RJ;330566;68709211000131;Cooperativa Médica;3;2025;486385735.34;7599777.1146875
SAMEL PLANO DE SAÚDE LTDA;AM;367095;84537141000138;Medicina de Grupo;1;2025;486242710.56;16208090.352
UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.;GO;312347;26629238000174;Cooperativa Médica;2;2025;483820716.58;4652122.2748076925
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO;SP;347655;56384183000140;Filantropia;3;2025;481773581.88;8165653.930169491
ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15);SP;304131;2030246000131;Autogestão;3;2025;480666314.72;15505364.990967743
ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE;SP;411752;3849449000117;Medicina de Grupo;1;2025;480221126.35;1064791.8544345899
ASSOCIAÇÃO PADRE ALBINO SAÚDE;SP;420158;23869306000184;Medicina de Grupo;3;2025;478670139.59999996;15440972.24516129
UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA;RO;337374;5657234000120;Cooperativa Médica;1;2025;477046265.09;5963078.3136249995
UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO;SP;311294;51427540000197;Cooperativa Médica;2;2025;472357725.25;7156935.231060606
LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;DF;418374;11828089000103;Autogestão;3;2025;470115834.0;7462156.095238095
BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.;SP;366561;2849393000138;Medicina de Grupo;1;2025;468991931.51;8848904.368113207
UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA;PB;367397;8707473000135;Cooperativa Médica;1;2025;468130286.8;11145959.20952381
UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO;PR;320862;81076069000109;Cooperativa Médica;3;2025;464372229.94;6633888.999142857
PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA;SP;420166;24645912000189;Medicina de Grupo;2;2025;464001173.37;10311137.186
UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA;SC;329339;82996703000186;Cooperativa Médica;1;2025;463569727.3;3311212.337857143
UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA.;MG;386588;42892281000184;Cooperativa Médica;1;2025;461769457.54;5845183.006835443
UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO;SC;348244;1554266000149;Cooperativa Médica;3;2025;461012059.07;5554362.15746988
CABERJ INTEGRAL SAÚDE S.A;RJ;415774;7844436000106;Medicina de Grupo;2;2025;459768036.03000003;7415613.48435484
UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;311618;87701249000102;Cooperativa Médica;3;2025;459295585.39;6754346.843970588
ASSOCIAÇÃO SANTA SAÚDE;SP;418021;13001218000102;Medicina de Grupo;1;2025;454454346.13;10568705.723953487
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;RJ;401081;68668045000172;Medicina de Grupo;3;2025;452413127.73;9048262.5546
UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO;MG;344729;17845504000105;Cooperativa Médica;2;2025;450995759.14;4955997.353186813
COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE;MG;337188;21490586000190;Cooperativa Médica;1;2025;450715298.28;4694951.02375
UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;SP;357138;1608379000180;Cooperativa Médica;2;2025;450593167.27;15537695.423103448
UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO;TO;309907;37313475000148;Cooperativa Médica;2;2025;448291327.77;5152773.882413792
UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO;MG;316881;66343559000122;Cooperativa Médica;2;2025;446344689.89;9298847.706041666
DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;RS;349682;1387625000110;Medicina de Grupo;1;2025;445416841.98;7814330.561052632
UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA;CE;356123;7583396000196;Cooperativa Médica;2;2025;445105558.61;9273032.471041666
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA;BA;335754;14799035000147;Autogestão;3;2025;442634212.73;14278522.991290323
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC;SC;327557;83937631000169;Autogestão;3;2025;438854744.7;9752327.66
UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;RJ;393321;42163881000101;Cooperativa Médica;2;2025;438286071.59999996;18261919.65
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;RJ;382540;31240963000196;Medicina de Grupo;3;2025;437462504.83;20831547.84904762
UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA;AM;311961;4612990000170;Cooperativa Médica;1;2025;437223589.86;9108824.78875
MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;SP;328537;453863000114;Medicina de Grupo;2;2025;436866150.69;11201696.171538461
UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA;GO;305472;33546979000157;Cooperativa Médica;3;2025;436375244.98;4040511.527592593
MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO;RJ;418650;30460075000116;Autogestão;2;2025;436192424.84;20771067.84952381
UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO ;PR;306100;81715716000177;Cooperativa Médica;2;2025;435482308.0;6311337.797101449
ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;SP;317632;62635990000191;Autogestão;1;2025;434039456.21000004;13152710.794242425
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA;SP;417530;11939445000158;Medicina de Grupo;1;2025;432240018.68;11682162.667027026
UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;RJ;335215;111826000128;Cooperativa Médica;2;2025;430262377.15000004;4529077.6542105265
UNIMED SALTO/ITU - COOPERATIVA MÉDICA;SP;346276;58837188000107;Cooperativa Médica;1;2025;430234814.12;3983655.6862962963
OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA;RJ;354511;2774736000142;Medicina de Grupo;2;2025;428943320.89;10212936.211666666
UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;319708;87497368000195;Cooperativa Médica;1;2025;426879648.05;4493469.979473684
ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;SC;417297;11593821000103;Autogestão;3;2025;426674065.05;7619179.733035714
UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO;PR;305227;78420783000150;Cooperativa Médica;3;2025;425030640.95;3899363.678440367
UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO;SP;329886;72783970000111;Cooperativa Médica;3;2025;422774771.84000003;5033032.998095239
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;SP;344800;62511019000150;Medicina de Grupo;1;2025;421107393.36;933719.2757427938
POLICLIN SAÚDE S/A.;SP;415693;4202013000102;Medicina de Grupo;2;2025;419937440.7;8075720.013461539
UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO;PR;358096;81064511000179;Cooperativa Médica;3;2025;419861891.28;5998027.018285714
UNIHOSP SAÚDE LTDA;SP;385255;1445199000124;Medicina de Grupo;2;2025;416273929.14000005;923002.0601773837
SAÚDE SANTA TEREZA LTDA.;SP;414930;5029064000139;Medicina de Grupo;3;2025;415197326.43;10379933.16075
UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO;AL;318566;35642768000143;Cooperativa Médica;2;2025;415028230.51;5460897.769868421
FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA;AM;313971;84112481000117;Cooperativa Médica;3;2025;414051801.03000003;8118662.765294118
UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.;MG;304051;16921561000163;Cooperativa Médica;2;2025;413799760.7;5747218.898611111
UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA.;MG;353060;38499547000156;Cooperativa Médica;1;2025;412591399.74;4797574.415581396
UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.;CE;321958;10395358000114;Cooperativa Médica;1;2025;411478572.03;7481428.582363636
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA;SP;418803;16665579000141;Medicina de Grupo;3;2025;409589554.71000004;2409350.3218235294
PLANO DE SAÚDE ANA COSTA LTDA.;SP;360244;2864364000145;Medicina de Grupo;1;2025;406259411.40999997;5565197.416575342
UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO;BA;324345;97388490000187;Cooperativa Médica;2;2025;405725037.31;6241923.650923077
UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;352314;66191263000133;Cooperativa Médica;3;2025;405515760.0;5793082.285714285
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL;RS;307319;2315431000172;Autogestão;1;2025;405210996.06;6986396.483793103
PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.;BA;326861;15214919000155;Medicina de Grupo;1;2025;403813609.14000005;13460453.638000002
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;MG;368920;20320487000105;Autogestão;3;2025;403211724.98;9163902.840454547
SANTA CASA DE MAUÁ SAÚDE;SP;421197;8225953000160;Medicina de Grupo;3;2025;402213876.45;891826.7770509977
UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;RS;311715;73936395000102;Cooperativa Médica;2;2025;402098735.42;5508201.855068494
UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO;MG;323926;25329079000120;Cooperativa Médica;3;2025;400198809.5;3848065.4759615385
FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL;PE;317233;42160192000143;Autogestão;1;2025;398238579.35;10763204.847297298
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO;GO;363855;37382009000114;Autogestão;3;2025;397728212.61;13714765.952068966
UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;304344;42940528000190;Cooperativa Médica;3;2025;397613597.5;4518336.3352272725
UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA;MT;359777;24676884000167;Cooperativa Médica;1;2025;397316845.82;3425145.2225862066
FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST;ES;330809;31787625000179;Autogestão;3;2025;397055694.0;12808248.193548387
CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL;MS;421341;4574626000162;Autogestão;3;2025;394048194.77;8955640.790227272
BENEFICENCIA CAMILIANA DO SUL;SP;318299;83506030000100;Filantropia;1;2025;393618478.49;10092781.49974359
NOVA SAÚDE OPERADORA INTEGRADA DE SAÚDE LTDA;RJ;423661;50876139000171;Medicina de Grupo;3;2025;393353526.32;21852973.684444442
CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS;CE;359122;63367700000139;Autogestão;3;2025;392658882.29;19632944.1145
